name,last_update,url,path
Félög fjölmiðlafólks og auglýsingahönnuða 1980-2018,2019-04-03T08:59:40Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/midlun/1_Fjolmidlar/felog/MEN12101.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Fjölmiðlar - Auglýsingar - Blöð - Félög fjölmiðlafólks
Hvalveiðar og útflutningur hvalafurða 1863-2018,2019-03-21T14:48:12Z,http://px.hagstofa.is/pxis/api/v1/is/Sogulegar/sogul_sjavarutvegur/SOG16010.px,Sogulegar - Byggingariðnaður - Fæddir og dánir - Ferðaþjónusta - Fjármál hins opinbera - Giftingar og skilnaðir - Kosningar - Landbúnaður - Mannfjöldi - Menning og miðlun - Menntun - Peningamál - Samgöngur og fjarskipti - Sjávarútvegur
Félags- og heilbrigðismál,2019-03-08T08:59:25Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/felagsmal/jafnrettismal/1_kklykiltolur/HEI11101.px,Samfelag - Dómsmál - Félagsmál - Stofnanir aldraðra - Félagsþjónusta sveitarfélaga - Konur og karlar - Lykiltölur
Vinnumarkaður,2019-03-08T08:59:25Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/felagsmal/jafnrettismal/1_kklykiltolur/HEI11103.px,Samfelag - Dómsmál - Félagsmál - Stofnanir aldraðra - Félagsþjónusta sveitarfélaga - Konur og karlar - Lykiltölur
Verð- og magnvísitölur utanríkisverslunar 1864-2017,2019-01-17T08:59:51Z,http://px.hagstofa.is/pxis/api/v1/is/Sogulegar/sogul_utanrikisverslun/SOG12000.px,Sogulegar - Byggingariðnaður - Fæddir og dánir - Ferðaþjónusta - Fjármál hins opinbera - Giftingar og skilnaðir - Kosningar - Landbúnaður - Mannfjöldi - Menning og miðlun - Menntun - Peningamál - Samgöngur og fjarskipti - Sjávarútvegur - Þjóðhagsreikningar - Umhverfi - Utanríkisverslun
Notendalínur í almenna símanetinu 1965-2011,2018-10-03T15:48:40Z,http://px.hagstofa.is/pxis/api/v1/is/Atvinnuvegir/visinditaekni/Fjarskipti/SAM06101.px,Atvinnuvegir - Ferðaþjónusta - Fyrirtæki - Iðnaður - Landbúnaður - Sjávarútvegur - Vísindi og tækni - Fjarskipti
"Kjörsókn eftir kyni, aldri og sveitarfélagi 2018",2018-09-25T08:59:48Z,http://px.hagstofa.is/pxis/api/v1/is/Ibuar/kosningar/sveitastjorn/svf_urslit/KOS03190.px,Ibuar - Búferlaflutningar - Fæddir og dánir - Fjölskyldan - Kosningar - Alþingiskosningar - Forsetakosningar - Sveitarstjórnarkosningar - Sveitarstjórnarkosningar - frambjóðendur - Sveitarstjórnarkosningar - úrslit
"Kjósendur á kjörskrá, greidd atkvæði og kosningaþátttaka eftir sveitarfélögum 2018",2018-09-25T08:59:48Z,http://px.hagstofa.is/pxis/api/v1/is/Ibuar/kosningar/sveitastjorn/svf_urslit/KOS03204a.px,Ibuar - Búferlaflutningar - Fæddir og dánir - Fjölskyldan - Kosningar - Alþingiskosningar - Forsetakosningar - Sveitarstjórnarkosningar - Sveitarstjórnarkosningar - frambjóðendur - Sveitarstjórnarkosningar - úrslit
Greiðslubyrði fjölskyldna sem hlutfall af tekjum eftir fjölskyldugerð 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01001.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
Greiðslubyrði fjölskyldna sem hlutfall af tekjum eftir aldursbilum 2015-2018,2018-07-10T08:59:19Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/lifskjor/5_skuldastada_heimili/2_greidslubyrdi/SKU01002.px,"Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Efnislegur skortur - Fjárhagsstaða heimila - Húsnæðismál - Skuldir og eignir  - Skuldir, eignir og eiginfjárstaða einstaklinga úr skattframtölum - Skuldastaða og greiðslubyrði fjölskyldna"
